snapshot_time,competition,event,end_date,moneyline_home_yes_prob,moneyline_home_yes_odds,moneyline_home_no_prob,moneyline_home_no_odds,moneyline_home_volume,moneyline_home_volume_24h,moneyline_home_liquidity,moneyline_home_spread,moneyline_away_yes_prob,moneyline_away_yes_odds,moneyline_away_no_prob,moneyline_away_no_odds,moneyline_away_volume,moneyline_away_volume_24h,moneyline_away_liquidity,moneyline_away_spread,draw_yes_prob,draw_yes_odds,draw_no_prob,draw_no_odds,draw_volume,draw_volume_24h,draw_liquidity,draw_spread,over25_prob,over25_odds,under25_prob,under25_odds,ou25_volume,ou25_volume_24h,ou25_liquidity,ou25_spread,btts_yes_prob,btts_yes_odds,btts_no_prob,btts_no_odds,btts_volume,btts_volume_24h,btts_liquidity,btts_spread,url
2026-06-09T06:22:18.362476+00:00,fifa world cup,Norway vs. Senegal,2026-06-23T00:00:00Z,0.455,2.2,0.545,1.83,8501.483513999998,2396.775034999999,25734.1762,0.01,0.285,3.51,0.715,1.4,5640.498254999998,504.7211660000001,26478.0186,0.01,0.265,3.77,0.735,1.36,1838.5926060000004,124.70370199999999,19539.2891,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-nor-sen-2026-06-22
2026-06-09T06:22:18.362476+00:00,fifa world cup,Jordan vs. Algeria,2026-06-23T03:00:00Z,0.145,6.9,0.855,1.17,2876.6230820000005,979.284678,44834.0222,0.01,0.655,1.53,0.345,2.9,14481.862778999981,11038.689141000017,43151.3231,0.01,0.215,4.65,0.785,1.27,946.4900989999999,489.26,36846.6968,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-jor-alg-2026-06-22
2026-06-09T06:22:18.362476+00:00,fifa world cup,Portugal vs. Uzbekistan,2026-06-23T17:00:00Z,0.785,1.27,0.215,4.65,10646.358626000005,879.0294059999999,13709.4376,0.01,0.075,13.33,0.925,1.08,1783.7096109999995,222.68,23954.959,0.01,0.145,6.9,0.855,1.17,667.199138,106.666665,21122.6985,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-prt-uzb-2026-06-23
2026-06-09T06:22:18.362476+00:00,fifa world cup,England vs. Ghana,2026-06-23T20:00:00Z,0.735,1.36,0.265,3.77,2431.7990050000008,495.18972099999996,18683.2968,0.01,0.105,9.52,0.895,1.12,24449.885545,15994.84501,31124.9925,0.01,0.165,6.06,0.835,1.2,398.63443599999994,126.45470399999999,24619.5021,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-eng-gha-2026-06-23
2026-06-09T06:22:18.362476+00:00,fifa world cup,Panama vs. Croatia,2026-06-23T23:00:00Z,0.125,8.0,0.875,1.14,1729.4209089999977,89.607686,32567.702,0.01,0.655,1.53,0.345,2.9,5711.680130000069,771.0545890000012,17994.7397,0.01,0.225,4.44,0.775,1.29,842.4632030000005,139.45595899999998,12501.3219,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-pan-hrv-2026-06-23
2026-06-09T06:22:18.362476+00:00,fifa world cup,Colombia vs. DR Congo,2026-06-24T02:00:00Z,0.665,1.5,0.335,2.99,3821.1562630000612,957.3138739999981,13089.8281,0.01,0.115,8.7,0.885,1.13,2165.3653679999998,39.666662,20391.7021,0.01,0.225,4.44,0.775,1.29,622.4422130000004,108.21739,14938.7738,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-col-cdr-2026-06-23
2026-06-09T06:22:18.362476+00:00,fifa world cup,Switzerland vs. Canada,2026-06-24T19:00:00Z,0.445,2.25,0.555,1.8,1033.226949,169.180855,18885.5562,0.01,0.275,3.64,0.725,1.38,548.3917439999999,3.571427,18675.5035,0.01,0.295,3.39,0.705,1.42,584.7537200000002,119.26666399999999,16835.1073,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-che-can-2026-06-24
2026-06-09T06:22:18.362476+00:00,fifa world cup,Bosnia and Herzegovina vs. Qatar,2026-06-24T19:00:00Z,0.615,1.63,0.385,2.6,6342.136664999994,4581.084679,21263.937,0.01,0.15,6.67,0.85,1.18,1402.3578879999993,43.85,22512.0511,0.02,0.235,4.26,0.765,1.31,427.54976600000003,7.875,20100.4106,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-bih-qat-2026-06-24
2026-06-09T06:22:18.362476+00:00,fifa world cup,Morocco vs. Haiti,2026-06-24T22:00:00Z,0.745,1.34,0.255,3.92,4292.967802,451.3305900000001,15406.9644,0.01,0.09,11.11,0.91,1.1,5321.3767990000015,20,26248.62,0.02,0.175,5.71,0.825,1.21,1089.6854859999999,197.05999999999997,15790.0839,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-mar-hai-2026-06-24
2026-06-09T06:22:18.362476+00:00,fifa world cup,Scotland vs. Brazil,2026-06-24T22:00:00Z,0.135,7.41,0.865,1.16,5816.988704000001,1077.4761879999999,28999.8303,0.01,0.665,1.5,0.335,2.99,5028.398910000018,1748.8235160000008,19912.3967,0.01,0.205,4.88,0.795,1.26,341.57752500000004,123.809522,19380.4537,0.01,,,,,,,,,,,,,,,,,https://polymarket.com/event/fifwc-sco-bra-2026-06-24
